1301,東証1部,1000
1305,東証,10
1306,東証,10
1308,東証,100
1309,東証,1
1310,東証,10
1311,東証,10
1312,東証,1
1313,東証,10
1314,東証,100
1316,東証,10
1317,東証,10
1318,東証,10
1319,東証,1000
1320,東証,1
1321,東証,1
1322,東証,10
1323,東証,100
1324,東証,100
1325,東証,100
1326,東証,1
1327,東証,1
1328,東証,10
1329,東証,1
1330,東証,10
1332,東証1部,100
1333,東証1部,100
1334,東証1部,1000
1343,東証,10
1344,東証,10
1345,東証,100
1346,東証,1
1347,東証,10
1348,東証,10
1349,東証,1
1352,東証1部,1000
1356,東証,10
1357,東証,1
1358,東証,1
1360,東証,10
1361,東証,1
1362,東証,1
1363,東証,1
1364,東証,1
1365,東証,1
1366,東証,1
1367,東証,1
1368,東証,1
1369,東証,1
1376,東証1部,100
1377,東証1部,100
1378,東証2部,100
1379,東証1部,100
1380,東証JQS,1000
1381,東証JQS,100
1382,東証JQS,100
1383,東証JQS,100
1384,東証1部,100
1385,東証,1
1386,東証,1
1387,東証,1
1388,東証,1
1389,東証,1
1390,東証,1
1391,東証,1
1392,東証,1
1393,東証,1
1394,東証,1
1397,東証,1
1398,東証,10
1399,東証,10
1400,東証JQG,100
1401,マザーズ,100
1405,東証2部,100
1407,東証JQS,100
1408,東証JQG,100
1412,東証外国,1
1414,東証1部,100
1417,東証1部,100
1418,東証JQS,100
1419,東証1部,100
1420,東証1部,100
1429,マザーズ,100
1430,マザーズ,100
1433,マザーズ,100
1434,東証2部,100
1435,マザーズ,100
1436,マザーズ,100
1456,東証,1
1457,東証,1
1458,東証,1
1459,東証,1
1460,東証,1
1464,東証,1
1465,東証,1
1466,東証,1
1467,東証,10
1468,東証,10
1469,東証,10
1470,東証,1
1471,東証,1
1472,東証,1
1473,東証,10
1474,東証,1
1475,東証,1
1476,東証,1
1477,東証,1
1478,東証,1
1479,東証,1
1480,東証,1
1481,東証,1
1482,東証,1
1483,東証,1
1484,東証,10
1491,東証2部,100
1514,東証1部,100
1515,東証1部,1000
1518,東証1部,1000
1540,東証,1
1541,東証,1
1542,東証,1
1543,東証,1
1544,東証,10
1545,東証,10
1546,東証,1
1547,東証,10
1548,東証,10
1549,東証,10
1550,東証,10
1551,東証,10
1552,東証,1
1554,東証,10
1555,東証,10
1556,東証,10
1557,東証,1
1559,東証,1
1560,東証,1
1561,東証,1
1562,東証,10
1563,東証,1
1565,東証,1
1566,東証,1
1567,東証,10
1568,東証,10
1569,東証,10
1570,東証,1
1571,東証,1
1572,東証,10
1573,東証,10
1574,東証,10
1575,東証,10
1576,東証,10
1577,東証,1
1578,東証,1
1579,東証,10
1580,東証,10
1581,東証,1
1582,東証,1
1583,東証,1
1584,東証,10
1585,東証,10
1586,東証,1
1587,東証,1
1588,東証,1
1589,東証,1
1590,東証,1
1591,東証,1
1592,東証,1
1593,東証,1
1595,東証,10
1596,東証,10
1597,東証,10
1598,東証,1
1599,東証,1
1605,東証1部,100
1606,東証1部,100
1610,東証,10
1612,東証,100
1613,東証,10
1615,東証,100
1617,東証,1
1618,東証,1
1619,東証,1
1620,東証,1
1621,東証,1
1622,東証,1
1623,東証,1
1624,東証,1
1625,東証,1
1626,東証,1
1627,東証,1
1628,東証,1
1629,東証,1
1630,東証,1
1631,東証,1
1632,東証,1
1633,東証,1
1634,東証,1
1635,東証,1
1636,東証,1
1637,東証,1
1638,東証,1
1639,東証,1
1640,東証,1
1641,東証,1
1642,東証,1
1643,東証,1
1644,東証,1
1645,東証,1
1646,東証,1
1647,東証,1
1648,東証,1
1649,東証,1
1650,東証,1
1661,東証1部,1000
1662,東証1部,100
1663,東証1部,100
1670,東証,100
1671,東証,1
1672,東証,1
1673,東証,10
1674,東証,1
1675,東証,1
1676,東証,1
1677,東証,10
1678,東証,100
1679,東証,10
1680,東証,10
1681,東証,10
1682,東証,100
1683,東証,10
1684,東証,10
1685,東証,10
1686,東証,10
1687,東証,10
1688,東証,10
1689,東証,100
1690,東証,10
1691,東証,10
1692,東証,100
1693,東証,10
1694,東証,10
1695,東証,100
1696,東証,100
1697,東証,10
1698,東証,10
1699,東証,10
