2011/01/04,501,503,501,501,500,501
2011/01/05,504,504,501,501,200,501
2011/01/06,508,510,508,510,900,510
2011/01/07,509,510,509,510,1300,510
2011/01/11,512,512,510,510,700,510
2011/01/12,511,515,511,514,6000,514
2011/01/13,518,525,518,524,7300,524
2011/01/14,521,524,517,517,500,517
2011/01/17,517,517,513,513,700,513
2011/01/18,518,518,518,518,200,518
2011/01/19,524,524,522,522,14100,522
2011/01/20,517,517,515,515,600,515
2011/01/21,518,518,504,504,1800,504
2011/01/24,504,504,504,504,100,504
2011/01/25,510,510,510,510,100,510
2011/01/26,510,510,510,510,200,510
2011/01/28,510,511,509,510,1500,510
2011/01/31,500,500,499,499,1800,499
2011/02/03,511,511,511,511,1400,511
2011/02/04,515,519,515,516,700,516
2011/02/07,517,517,516,516,1400,516
2011/02/08,518,520,518,519,1700,519
2011/02/09,525,529,523,523,800,523
2011/02/14,528,530,528,530,600,530
2011/02/15,533,533,533,533,200,533
2011/02/16,535,544,535,541,1800,541
2011/02/17,543,546,543,546,600,546
2011/02/18,543,548,542,543,1700,543
2011/02/21,543,551,542,551,1600,551
2011/02/22,544,544,536,536,4600,536
2011/02/23,533,534,530,530,400,530
2011/02/24,523,526,523,526,700,526
2011/02/25,524,529,522,529,800,529
2011/02/28,525,525,525,525,300,525
2011/03/01,536,538,536,538,200,538
2011/03/02,530,530,530,530,300,530
2011/03/04,540,540,540,540,200,540
